pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraforming_score
OGLE-2016-BLG-1227L b,13.9,250.0,,912.5307146386988,5412.3924897449615,0.1,,0.014262971257932062,356.2653573193494,80.57051885031727,1.2939288856684437,79.39288856684436,129,244
Kepler-24 e,2.78,8.15,18.998355,792.0,5897.0,1.05,1.29,-0.071,296.0,77.16000000000001,1.0545520418197818,55.45520418197818,108,149
Kepler-1065 b,3.73,13.4,3.60930891,1092.0,5635.0,0.94,0.93,-0.01,446.0,79.60000000000001,0.9631349323289896,46.31349323289896,145,198
HD 132406 b,12.8,1887.90074,908.0,912.5307146386988,5766.0,0.97,1.34,0.129,356.2653573193494,85.16,11.52283166503906,1102.283166503906,335,444
TOI-1260 c,2.76,13.2,7.493134,651.0,4227.0,0.68,0.67,-0.1,225.5,76.0,1.7328292375551357,123.28292375551358,104,133
HD 149143 b,13.6,422.7139,4.07182,912.5307146386988,5856.0,1.2,1.44,0.29,356.2653573193494,91.60000000000001,2.285434147923876,178.54341479238758,152,267
HD 99492 b,5.44,25.5,17.0503,912.5307146386988,4929.0,0.85,0.82,0.3,356.2653573193494,92.0,0.8616727941176469,36.16727941176469,124,180
nu Oph c,12.0,7838.32346,3180.6,912.5307146386988,4887.0,2.61,12.24,0.1,356.2653573193494,84.00000000000001,54.432801805555556,5393.2801805555555,1193,1293
75 Cet b,13.3,787.89662,696.62,912.5307146386988,4809.0,1.92,10.38,0.1,356.2653573193494,84.00000000000001,4.454161456272259,395.4161456272259,193,301
gam Lib b,13.7,357.87479,414.88,912.5307146386988,4879.0,1.78,12.38,-0.27,356.2653573193494,69.19999999999999,1.9067333901646335,140.67333901646336,138,250
HD 113337 b,13.1,1035.80278,317.58639,912.5307146386988,6667.33,1.4,1.53,0.07,356.2653573193494,82.8,6.035795000291359,553.5795000291359,225,341
HD 28109 c,4.23,7.943,56.00819,585.2,6120.0,1.26,1.45,0.0,192.60000000000002,80.0,0.4439190964013658,-5.6080903598634215,71,117
K2-350 b,1.54,2.99,4.163873,1158.0,5789.0,0.98,1.04,-0.02,479.0,79.2,1.260752234778209,76.0752234778209,159,200
K2-342 b,2.03,4.78,11.561052,861.0,5920.0,1.01,1.09,-0.06,330.5,77.60000000000001,1.159940789633333,65.9940789633333,119,157
EPIC 212587672 b,1.26,2.13,15.28078,756.0,6004.0,0.99,0.98,-0.18,278.0,72.8,1.3416477702191987,84.16477702191986,108,139
K2-332 b,2.2,5.48,17.70632,266.0,3315.0,0.27,0.28,0.09,33.0,83.6,1.1322314049586777,63.22314049586777,46,56
K2-340 b,3.36,11.2,29.740451,606.0,5532.0,0.93,1.13,0.08,202.99999999999997,83.2,0.9920634920634922,49.20634920634922,86,123
GJ 486 b,1.289,2.77,1.46712127,696.3,3317.0,0.31,0.32,-0.15,248.14999999999995,74.0,1.6671471501112536,116.71471501112536,108,123
TOI-6002 b,1.65,3.36,10.904821,321.4,3229.0,0.21,0.24,-0.18,60.69999999999999,72.8,1.234159779614325,73.4159779614325,77,60
HIP 12961 b,13.2,114.4188,57.435,912.5307146386988,3901.0,0.69,0.65,-0.14,356.2653573193494,74.4,0.6566735537190084,15.667355371900838,115,218
HD 11755 b,12.8,1789.3829,433.70001,912.5307146386988,4312.0,0.72,20.58,-0.74,356.2653573193494,50.4,10.921526489257811,1042.152648925781,313,416
HD 29985 b,12.8,1739.47487,20608.14049,912.5307146386988,4678.0,0.75,0.57,-0.22,356.2653573193494,71.2,10.616912048339842,1011.6912048339841,313,417
HD 115954 b,12.6,2685.65004,3700.0,144.9,5957.0,1.18,1.21,0.34,-27.549999999999997,93.6,16.916414965986394,1641.6414965986394,350,439
HIP 97233 b,12.1,6098.17365,1062.26506,912.5307146386988,5020.0,1.81,5.34,0.29,356.2653573193494,91.60000000000001,41.65134656102725,4115.134656102726,940,1040
HD 95872 b,13.0,1188.6842,4375.0,912.5307146386988,5312.0,0.7,0.84,0.41,356.2653573193494,96.4,7.033634319526627,653.3634319526627,249,357
OGLE-2015-BLG-0966L b,4.86,21.0,,912.5307146386988,5412.3924897449615,0.38,,0.014262971257932062,356.2653573193494,80.57051885031727,0.88909210994259,38.909210994259006,121,176
Teegarden's Star c,1.02,1.05,11.416,209.0,3034.0,0.1,0.12,-0.11,4.5,75.6,1.0092272202998847,50.92272202998846,34,34
TOI-1470 b,2.18,7.32,2.527093,734.0,3709.0,0.47,0.47,0.0,267.0,80.0,1.5402743876778047,104.02743876778047,112,136
HR 810 b,12.7,1970.53612,302.79999,912.5307146386988,6167.0,1.34,1.13,0.16,356.2653573193494,86.4,12.217348378696759,1171.7348378696759,349,460
HD 97658 b,2.12,8.3,9.4897116,751.0,5212.0,0.85,0.73,-0.23,275.5,70.8,1.846742613029548,134.6742613029548,117,149
LTT 3780 b,1.325,2.46,0.76837931,903.0,3358.0,0.38,0.38,0.06,351.5,82.4,1.4012103951584194,90.12103951584194,131,151
HIP 41378 c,2.56,7.08,31.70648,696.502287375,6226.0,1.14,1.35,-0.11,248.25114368750002,75.6,1.080322265625,58.0322265625,96,135
HD 86728 b,3.03,9.43,31.1515,912.5307146386988,5610.0,0.97,1.24,0.2,356.2653573193494,88.00000000000001,1.0271324162119182,52.71324162119182,126,169
HD 106315 c,4.35,15.2,21.05704,886.0,6327.0,1.07,1.29,-0.311,343.0,67.56,0.8032765226582113,30.327652265821126,112,168
K2-174 b,2.6,7.27,19.562307,455.0,4455.0,0.67,0.68,0.113,127.49999999999999,84.52,1.0754437869822484,57.54437869822484,69,92
TOI-2068 b,1.821,3.97,7.768915,520.62,3710.0,0.56,0.54,0.27,160.31,90.8,1.1972107703131536,69.72107703131536,81,97
TOI-2180 b,11.321,875.61726,260.79,348.0,5695.0,1.11,1.64,0.253,74.0,90.12,6.831950843756216,633.1950843756216,197,257
TOI-1899 b,11.097,212.94503,29.090312,378.0,3926.0,0.63,0.61,0.28,89.0,91.20000000000002,1.7292442342569874,122.92442342569873,74,149
HD 22946 d,2.607,26.57,47.42489,546.0,6169.0,1.1,1.12,-0.08,173.0,76.8,3.9093944499546742,340.9394449954674,134,169
Qatar-3 b,12.285,1369.8473,2.5079204,1681.0,6007.0,1.15,1.27,-0.041,740.5,78.36000000000001,9.076571569042061,857.6571569042061,380,507
WASP-159 b,15.468,174.8065,3.840401,1850.0,6120.0,1.41,2.11,0.22,825.0,88.80000000000001,0.7306161208782662,23.06161208782662,238,390
WASP-7 b,14.908,305.1168,4.9546416,1487.0,6400.0,1.28,1.43,0.0,643.5,80.0,1.3728634812972207,87.28634812972207,202,344
HD 219134 g,3.28,10.80622,94.2,912.5307146386988,4913.0,0.79,0.77,0.08,356.2653573193494,83.2,1.0044448988697205,50.44448988697206,124,166
tau Cet e,1.81,3.93,162.87,912.5307146386988,5310.0,0.78,0.83,-0.52,356.2653573193494,59.199999999999996,1.199597081896157,69.9597081896157,121,156
Kepler-1465 b,1.77,3.78,31.8277111,668.0,4726.0,0.75,0.71,-0.06,234.0,77.60000000000001,1.2065498419994254,70.65498419994253,96,121
K2-150 b,2.0,4.66,10.59357,912.5307146386988,3499.0,0.46,0.44,0.09,356.2653573193494,83.6,1.165,66.5,127,154
NSVS 14256825 b,12.3,4497.2945,3225.0,912.5307146386988,40000.0,0.42,0.19,0.014262971257932062,356.2653573193494,80.57051885031727,29.726317007072506,2922.6317007072507,698,975
Kepler-1665 b,2.839,8.44,11.9548,906.0,5049.84,0.84,0.78,-0.013,353.0,79.48,1.0471566656794775,54.71566656794775,123,163
KOI-4978 b,0.7,0.271,0.941967,912.5307146386988,5050.28,0.86,0.97,0.18,356.2653573193494,87.20000000000002,0.553061224489796,5.3061224489796,116,141
Kepler-1332 b,1.37,2.45,11.87456832,728.0,5581.0,0.95,0.9,0.0,264.0,80.0,1.3053439181629283,80.53439181629282,106,134
Kepler-1484 b,2.11,5.1,30.4549136,624.0,5730.0,0.94,0.92,-0.17,212.0,73.2,1.1455268300352643,64.55268300352644,88,119
Kepler-1486 b,2.32,5.99,54.6495759,538.0,5965.0,1.08,1.12,0.06,169.0,82.4,1.1128864447086804,61.288644470868036,79,111
Kepler-1471 c,1.88,4.19,11.6044881,841.0,5533.0,0.93,1.17,0.16,320.5,86.4,1.1854911724762338,68.54911724762339,120,153
Kepler-1537 b,1.18,1.76,1.4444538,1800.0,5079.0,0.81,0.77,-0.08,800.0,76.8,1.2640045963803506,76.40045963803506,238,289
Kepler-148 b,1.8,3.89,1.729366,1284.0,5272.0,0.86,0.85,0.14,542.0,85.60000000000001,1.2006172839506173,70.06172839506173,175,218
Kepler-148 c,3.6,12.6,4.180043,957.0,5272.0,0.86,0.85,0.14,378.5,85.60000000000001,0.9722222222222221,47.22222222222221,130,176
Kepler-1480 b,1.67,3.43,22.12679948,721.0,5156.0,0.85,0.81,0.07,260.5,82.8,1.2298755781849475,72.98755781849475,105,132
Kepler-1481 b,1.23,2.04,5.94220998,797.0,4908.0,0.8,0.75,0.04,298.5,81.60000000000001,1.3484037279397185,84.84037279397185,116,141
42 Dra b,13.0,1233.13,479.1,912.5307146386988,4200.0,0.98,22.03,-0.46,356.2653573193494,61.6,7.296627218934912,679.6627218934912,243,348
61 Vir c,4.46,18.2,38.021,912.5307146386988,5577.0,0.94,0.96,-0.01,356.2653573193494,79.60000000000001,0.9149590782038649,41.49590782038649,121,174
LTT 1445 A b,1.18,2.73,5.35876,555.0,3340.0,0.26,0.27,-0.34,177.5,66.39999999999999,1.9606434932490666,146.06434932490666,94,105
TOI-5301 b,13.092,1182.32167,5.858858,1648.0,6418.0,1.32,2.18,0.03,724.0,81.19999999999999,6.898007405627559,639.8007405627559,333,466
