pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score
OGLE-2016-BLG-1227L b,13.9,250.0,,912.5307146386988,5412.3924897449615,0.1,,0.014262971257932,0.0,-3.3709117781417086e-16,1.2939288856684437,-0.1534743821118918,79.07,46.11
Kepler-24 e,2.78,8.15,18.998355,792.0,5897.0,1.05,1.29,-0.071,-0.3020638075596543,-0.47337961193066636,1.0545520418197818,-0.16727836206676344,57.78,27.81
Kepler-1065 b,3.73,13.4,3.60930891,1092.0,5635.0,0.94,0.93,-0.01,0.4497706318156948,-0.1347079013188422,0.9631349323289896,-0.17255004969809093,69.9,34.41
HD 132406 b,12.8,1887.90074,908.0,912.5307146386988,5766.0,0.97,1.34,0.129,0.0,0.6370194392556424,11.52283166503906,0.436388725181944,85.01,77.37
TOI-1260 c,2.76,13.2,7.493134,651.0,4227.0,0.68,0.67,-0.1,-0.6554259940660683,-0.6343874743526812,1.7328292375551355,-0.12816461713119737,55.0,35.32
HD 149143 b,13.6,422.7139,4.07182,912.5307146386988,5856.0,1.2,1.44,0.29,0.0,1.5308906754606209,2.285434147923876,-0.09629792951409276,93.82,49.13
HD 99492 b,5.44,25.5,17.0503,912.5307146386988,4929.0,0.85,0.82,0.3,0.0,1.5864106280199364,0.8616727941176469,-0.17840099709772023,92.95,41.55
nu Oph c,12.0,7838.32346,3180.6,912.5307146386988,4887.0,2.61,12.24,0.1,0.0,0.47601157683362766,54.43280180555556,2.9108484856185526,82.8,127.07
75 Cet b,13.3,787.89662,696.62,912.5307146386988,4809.0,1.92,10.38,0.1,0.0,0.47601157683362766,4.454161456272259,0.028764577830813938,82.96,68.5
gam Lib b,13.7,357.87479,414.88,912.5307146386988,4879.0,1.78,12.38,-0.27,0.0,-1.578226667861044,1.9067333901646333,-0.11813620586929549,62.91,63.91
HD 113337 b,13.1,1035.80278,317.58639,912.5307146386988,6667.33,1.4,1.53,0.07,0.0,0.3094517191556813,6.035795000291359,0.11997155251795358,81.68,72.25
HD 28109 c,4.23,7.943,56.00819,585.2,6120.0,1.26,1.45,0.0,-0.8203283477690614,-0.07918794875952677,0.4439190964013658,-0.20249131250431338,70.52,29.24
K2-350 b,1.54,2.99,4.163873,1158.0,5789.0,0.98,1.04,-0.02,0.6151742084782716,-0.19022785387815766,1.260752234778209,-0.15538755723984238,46.91,16.93
K2-342 b,2.03,4.78,11.561052,861.0,5920.0,1.01,1.09,-0.06,-0.12914188650332398,-0.4123076641154194,1.159940789633333,-0.16120098156956286,49.03,20.65
EPIC 212587672 b,1.26,2.13,15.28078,756.0,6004.0,0.99,0.98,-0.18,-0.39228394028469615,-1.0785470948272047,1.341647770219199,-0.15072260998883752,33.2,15.8
K2-332 b,2.2,5.48,17.70632,266.0,3315.0,0.27,0.28,0.09,-1.620280191264433,0.42049162427431214,1.1322314049586777,-0.16279887961375544,52.85,25.84
K2-340 b,3.36,11.2,29.740451,606.0,5532.0,0.93,1.13,0.08,-0.7682011599723707,0.3649716717149967,0.9920634920634922,-0.17088184632353712,70.39,34.22
